redshift,j,z,i,u,r,g,h,k,radiopeak,radiototal
0.53746,,210.293613748443,141.3924376035126,0.7291657092040146,62.062110736242985,15.574926242576769,,,21.366550674024968,31.56033957458164
0.21479,1576.4793395076279,715.8566333151296,467.33285678373653,10.03751680829637,286.03945219354813,89.37715066129432,1315.5279564362352,1500.8257803755523,7.023418232315708,16.166933446449686
0.42901,,172.35593502798204,123.60220499499025,22.554134685779943,77.05947095607375,40.4786724779046,,,189.68022214480743,209.39888671308867
0.09602,6428.183898675937,3701.913036372701,2696.660459423563,312.77064553755736,1818.1348320867037,833.3480428736165,8037.11426477546,6349.364728064269,49.33780141124267,59.58349441934337
0.23852,,445.0681511140013,304.5273161599937,4.258203211857318,187.5973189369562,48.53180707787516,,,1.9557868177313902,3.225842407820462
0.42173,,145.48768609423234,97.81970175644706,1.1251916620125941,49.616546183669,11.440008967272657,,,5.735468143657637,9.877463788888504
0.04087,18301.56229646747,16114.849767940344,12417.273993949453,1425.6945618964273,8945.9462719274,4893.576617475009,22402.68690034996,24838.801406459937,2.0062732353714114,21.483327779422176
0.28909,1287.324920844862,494.3401473598557,338.24110403718925,6.9570640015205,200.8289831385311,42.66050024260016,,1987.6064767132386,6.646358345158121,12.592355246385553
0.2883,,515.259387848958,347.7169767049325,0.6025955826506089,204.18613517661575,44.38399737500758,,,18.112651862476383,29.26188517241747
0.0722,8380.85516452189,7145.3928584666455,5166.856481817575,242.34082303549286,3394.8943793488547,1437.560203028432,9915.166641579139,8708.241005213891,7.076518562104827,8.611358960708094
0.57888,,93.33103808078857,71.32243626127068,15.893754674892604,42.896923981365696,25.28287102978789,,,2.0675301608282366,5.983644357816574
0.36404,,279.52849755671576,194.10026433985811,0.6397733675827284,108.14987835523154,17.539850311897546,,,6.387194745823804,18.352972693056902
0.13302,,1190.216788597824,727.8232305559899,28.315619374780994,437.34696256377407,159.23042922799866,,,1.7948472587154847,4.15652158725757
0.2757,,737.2688562591156,415.36147430311837,2.686744590810528,245.2595973176307,58.401842398703245,,,,
0.04356,24665.40823939836,10056.022295145047,7224.8052549506465,381.96746374757345,4984.552722645162,2286.790118445313,25205.76201794646,25207.545094389334,1.5729817733211746,14.442805429613546
0.15008,,435.33787229794734,312.4828638459702,9.772969740455643,201.01393697496192,73.93089990446653,,,55.37100038628971,84.50563831412695
0.47954,,218.18578391019105,131.10700267485313,2.4981941899318127,64.50991484895374,11.67417256142049,,,3.5859744544738708,5.779648998214309
0.24883,,668.6922527537756,443.83997375007584,10.03751680829637,267.9330447873489,68.30092391918116,,,12.64913838209123,19.79697142568479
0.28462,,645.6932537851328,455.434960106755,13.81740013347817,264.01340626924696,65.70915597977307,,,4.446681851237474,3.992320226630263
0.24988,,622.3373735813964,507.25530397949007,6.558829302289724,299.796235845253,74.13547872369753,,,,
0.47999,,340.42886040159243,210.48765382483597,0.5926879315425331,95.06623170867059,17.203860775968835,,,5.48580559147037,8.863617395112783
0.38925,,275.1857942850499,190.90894041643026,0.930734886065438,101.3039494338403,19.880464049159,,,3.7542163682340215,6.73114255864274
0.12828,2767.5043227496644,3212.373979129155,2439.0807848311592,158.2071394148516,1508.0858313032518,620.6211073624298,3437.9518411436293,3518.2796591991278,4.553640333756276,8.05371068816192
0.14314,,1052.994987491359,751.6689575769632,29.05534368928445,464.757180698039,152.4847720075113,,,20.228719024370644,25.753385841617156
0.44877,,175.7220277544183,121.1229597710611,5.021413224925796,60.03797832519558,13.293104155830534,,,26.87926591330269,35.57882292449322
0.1342,,2074.0839379488552,353.8557831196723,36.31,215.7873766506619,271.1605304054369,,,33.498112453591226,39.551161300965724
0.37119,,450.42859124537756,284.98765881103844,0.3897858906749079,161.14849767940342,30.284893272452752,,,66.72853159349101,84.13565277708774
0.12793,3330.3386176328695,2034.353239716161,1386.8395499679334,39.70327188217454,884.7607956307442,302.0132130646725,3843.261229088508,4069.3997532705644,6.064762955898147,10.71151118926607
0.36658,,242.11741880745166,167.50438778203326,0.8929475747182689,91.79652407258493,17.998097361167076,,,2.325616613752622,3.132756258663085
0.23993,1397.2961339324743,878.2660647921656,639.7733675827285,14.669879549646371,379.86227373662496,110.16058115718442,2002.1648448595772,1919.244746605341,4.864632265381445,6.921083512106893
0.18338,,783.4763343108593,566.5342489165016,16.967824495530824,342.9463137185615,100.74561899300807,,,8.729561567633342,16.036657508103225
0.19578,2116.8406240527156,1069.6122870474921,726.4844998050578,18.383412010025832,432.9385345869352,122.92097910016192,2416.0171941980425,2060.3006887363326,2.5147932314690706,4.8926843323892415
0.14212,1836.9123328466726,1287.1420203996868,892.1259695989369,26.59662385983228,569.149812107541,198.43861808869949,1980.1577868316303,2445.2910361092704,,
0.18126,,772.0160807130069,544.0338460049329,15.03924228465066,336.68669610698214,104.43017182280585,,,,
0.354,,382.3192374144415,311.0473759296707,0.2844634632008001,164.1445411400367,31.829248822514515,,,4.5090027725691675,15.901007881177165
0.34857,,326.90843063691113,231.43344534903588,2.8762467778484377,128.83274163071118,23.379003316403907,,,4.41749309658977,15.304267461432664
0.1147,4509.082704393552,4487.723238741042,3110.471027161937,109.45263732348984,2006.4402323989764,721.8157678819952,6354.773810131996,6624.15471460243,4.700504911575601,26.620685113169866
0.34895,,246.8459457494393,175.39850311897547,4.085322563506233,98.36181681563933,18.451258986911604,,,4.132124283724548,6.580959527863466
0.09416,,,,,,,,,23.741256987066176,29.986178999352695
